Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
863,Elijhaa Penny,NYG,RB,17,0,0,0,99,1,9,30,1,0,0,0,0,2.1,35.9
863,Jerick McKinnon,KC,RB,13,0,0,0,62,0,13,107,1,0,0,0,0,2.8,35.9
865,Bryan Mone,SEA,DT,14,0,0,0,0,0,0,0,0,1.5,0,1,0,2.6,35.85
866,Ola Adeniyi,TEN,OLB,16,0,0,0,0,0,0,0,0,2.5,0,0,0,2.2,35.8
867,Brock Wright,DET,TE,10,0,0,0,0,0,12,117,2,0,0,0,0,3.6,35.7
867,Zach Gentry,PIT,TE,17,0,0,0,0,0,19,167,0,0,0,0,0,2.1,35.7
869,Craig Reynolds,DET,RB,5,0,0,0,230,0,7,52,0,0,0,0,0,7,35.2
870,J.J. Watt,ARI,DE,7,0,0,0,0,0,0,0,0,1,0,1,0,5,35.1
871,Tre Flowers,CIN,CB,16,0,0,0,0,0,0,0,0,0,0,0,0,2.2,35
871,Jordan Phillips,ARI,DT,9,0,0,0,0,0,0,0,0,3,0,0,0,3.9,35
871,Eddy Piñeiro,NYJ,K,5,0,0,0,0,0,0,0,0,0,0,0,0,7,35
874,Camryn Bynum,MIN,S,14,0,0,0,0,0,0,0,0,1,1,0,0,2.5,34.9
874,Markus Bailey,CIN,LB,16,0,0,0,0,0,0,0,0,0.5,0,0,0,2.2,34.9
876,Jerry Hughes,BUF,DL,17,0,0,0,0,0,0,0,0,2,0,2,0,2,34.85
877,Kingsley Keke,GB,DT,12,0,0,0,0,0,0,0,0,2.5,0,1,0,2.9,34.8
877,JuJu Smith-Schuster,PIT,WR,5,0,0,0,9,1,15,129,0,0,0,0,0,7,34.8
879,K'Lavon Chaisson,JAX,OLB,15,0,0,0,0,0,0,0,0,1,0,0,0,2.3,34.7
880,DeShon Elliott,BAL,S,6,0,0,0,0,0,0,0,0,1,1,0,0,5.8,34.6
880,Royce Freeman,HOU,RB,15,0,0,0,169,0,10,77,0,0,0,0,0,2.3,34.6
882,Greg Ward,PHI,WR,17,2,0,0,0,0,7,95,3,0,0,0,0,2,34.58
883,Cody Barton,SEA,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,2.2,34.5
884,Takk McKinley,CLE,DE,11,0,0,0,0,0,0,0,0,2.5,0,1,0,3.1,34.4
884,DJ Chark,JAX,WR,4,0,0,0,0,0,7,154,2,0,0,0,0,8.6,34.4
884,Noah Brown,DAL,WR,13,0,0,0,0,0,16,184,0,0,0,0,0,2.6,34.4
887,Marlon Davidson,ATL,DL,11,0,0,0,0,0,0,0,0,1,1,0,1,3.1,34.3
888,Whitney Mercilus,GB,OLB,10,0,0,0,0,0,0,0,0,4,0,0,0,3.4,34.2
888,Oren Burks,GB,LB,17,0,0,0,0,0,0,0,0,0.5,0,0,0,2,34.2
890,Michael Pierce,MIN,DT,8,0,0,0,0,0,0,0,0,3,0,1,0,4.2,34
891,Kyler Fackrell,LAC,LB,13,0,0,0,0,0,0,0,0,3,0,1,0,2.6,33.7
892,Gardner Minshew,PHI,QB,4,439,4,1,21,0,0,0,0,0,0,0,0,8.4,33.66
893,Ronald Blair,NYJ,DE,8,0,0,0,0,0,0,0,0,1,0,0,1,4.2,33.6
894,Ahkello Witherspoon,PIT,CB,9,0,0,0,0,0,0,0,0,0,3,0,0,3.7,33.5
