Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
1051,Charles Omenihu,SF,DL,15,0,0,0,0,0,0,0,0,0,0,0,0,1.4,21.5
1051,Desmond Trufant,LV,CB,10,0,0,0,0,0,0,0,0,0,0,0,0,2.2,21.5
1051,Malik Harrison,BAL,ILB,14,0,0,0,0,0,0,0,0,0,0,0,0,1.5,21.5
1051,Jarrad Davis,NYJ,LB,9,0,0,0,0,0,0,0,0,0,0,0,0,2.4,21.5
1051,Lee Smith,ATL,TE,16,0,0,0,0,0,9,65,1,0,0,0,0,1.3,21.5
1051,Collin Johnson,NYG,WR,12,0,0,0,0,0,11,105,0,0,0,0,0,1.8,21.5
1058,Keion Crossen,NYG,DB,16,0,0,0,0,0,0,0,0,1,0,1,1,1.3,21.3
1058,Jarrod Wilson,SF,FS,9,0,0,0,0,0,0,0,0,1,0,0,0,2.4,21.3
1058,Denzel Mims,NYJ,WR,11,0,0,0,0,0,8,133,0,0,0,0,0,1.9,21.3
1061,Jordan Love,GB,QB,6,411,2,3,27,0,0,0,0,0,0,0,0,3.5,21.14
1062,Chris Rumph II,LAC,OLB,16,0,0,0,0,0,0,0,0,1,0,0,0,1.3,21
1062,Demetrius Flannigan-Fowles,SF,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,1.2,21
1062,Derick Roberson,TEN,OLB,5,0,0,0,0,0,0,0,0,1.5,0,0,0,4.2,21
1062,Khyiris Tonga,CHI,DL,15,0,0,0,0,0,0,0,0,0,0,0,1,1.4,21
1062,Chris Westry,BAL,CB,5,0,0,0,0,0,0,0,0,0,0,0,0,4.2,21
1062,Nick Kwiatkoski,LV,ILB,8,0,0,0,0,0,0,0,0,0,0,1,0,2.6,21
1062,Sharrod Neasman,NYJ,FS,11,0,0,0,0,0,0,0,0,0,1,0,0,1.9,21
1062,Jonathan Owens,HOU,DB,6,0,0,0,0,0,0,0,0,0,1,0,1,3.5,21
1062,Kyle Peko,TEN,DT,8,0,0,0,0,0,0,0,0,2,0,1,0,2.6,21
1071,Eddie Goldman,CHI,NT,14,0,0,0,0,0,0,0,0,0.5,0,0,0,1.5,20.9
1072,Dee Ford,SF,DE,6,0,0,0,0,0,0,0,0,3,0,1,0,3.5,20.8
1073,Pernell McPhee,BAL,OLB,10,0,0,0,0,0,0,0,0,1,0,0,0,2.1,20.7
1073,Bobby Price,DET,CB,15,0,0,0,0,0,1,17,0,0,0,0,0,1.4,20.7
1073,Jonathan Williams,WAS,RB,5,0,0,0,79,1,4,28,0,0,0,0,0,4.1,20.7
1073,Patrick Ricard,BAL,FB,13,0,0,0,4,0,8,63,1,0,0,0,0,1.6,20.7
1077,Duke Riley,MIA,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,1.3,20.5
1077,Jimmy Smith,BAL,CB,10,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5
1077,Kenny Robinson,CAR,S,10,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5
1077,Jacob Hollister,JAX,TE,7,0,0,0,0,0,9,55,1,0,0,0,0,2.9,20.5
1081,Carl Davis Jr.,NE,DL,17,0,0,0,0,0,0,0,0,1,0,0,0,1.2,20.4
1082,Trinity Benson,DET,WR,8,0,0,0,0,0,10,103,0,0,0,0,0,2.5,20.3
1083,Matthias Farley,TEN,S,17,6,0,0,0,0,0,0,0,0,0,1,1,1.2,20.24
1084,Kristian Wilkerson,NE,WR,3,0,0,0,0,0,4,42,2,0,0,0,0,6.7,20.2
1084,Equanimeous St. Brown,GB,WR,13,0,0,0,14,0,9,98,0,0,0,0,0,1.6,20.2
1086,Dee Delaney,TB,CB,15,0,0,0,0,0,0,0,0,0,1,0,0,1.3,20
1086,Shaun Bradley,PHI,LB,15,0,0,0,0,0,0,0,0,0,0,0,0,1.3,20
1086,Jason Pinnock,NYJ,S,12,0,0,0,0,0,0,0,0,0,0,2,0,1.7,20
1086,Aldrick Rosas,DET,K,5,0,0,0,0,0,0,0,0,0,0,0,0,4,20
1086,J.T. Gray,NO,DB,16,0,0,0,0,0,0,0,0,0,0,0,0,1.2,20
1086,Broderick Washington,BAL,DT,14,0,0,0,0,0,0,0,0,1,0,0,0,1.4,20
1086,Buster Skrine,TEN,CB,7,0,0,0,0,0,0,0,0,0,1,0,0,2.9,20
1086,Lirim Hajrullahu,CAR,K,4,0,0,0,0,0,0,0,0,0,0,0,0,5,20
1094,Jessie Lemonier,DET,OLB,7,0,0,0,0,0,0,0,0,1.5,0,0,0,2.8,19.7
1094,Qadree Ollison,ATL,RB,7,0,0,0,105,1,4,12,0,0,0,1,0,2.8,19.7
1096,Tyler Matakevich,BUF,LB,17,0,0,0,0,0,0,0,0,0,1,0,0,1.1,19.5
1096,Anthony Rush,ATL,DL,12,0,0,0,0,0,0,0,0,0,0,1,0,1.6,19.5
1096,Terrence Brooks,HOU,DB,11,0,0,0,0,0,0,0,0,0,0,0,0,1.8,19.5
1096,Cam Gill,TB,OLB,13,0,0,0,0,0,0,0,0,2,0,0,0,1.5,19.5
1100,Tony Jefferson,BAL,S,6,0,0,0,0,0,0,0,0,1,0,0,0,3.2,19.4
1100,Tommy Sweeney,BUF,TE,13,0,0,0,0,0,9,44,1,0,0,0,0,1.5,19.4
1102,Sheldon Day,CLE,DT,7,0,0,0,0,0,0,0,0,1,0,0,0,2.8,19.35
1103,Jesse James,CHI,TE,14,0,0,0,0,0,7,62,1,0,0,1,0,1.4,19.2
1103,Jeff Smith,NYJ,WR,12,0,0,0,-1,0,8,113,0,0,0,0,0,1.6,19.2
1105,Scotty Miller,TB,WR,9,0,0,0,43,1,5,38,0,0,0,0,1,2.1,19.1
1105,Chris Manhertz,JAX,TE,17,0,0,0,0,0,6,71,1,0,0,0,0,1.1,19.1
1105,Drew Sample,CIN,TE,17,0,0,0,0,0,11,81,0,0,0,0,0,1.1,19.1
1108,Isaiah Oliver,ATL,CB,4,0,0,0,0,0,0,0,0,0,0,1,1,4.8,19
1108,Ulysees Gilbert III,PIT,ILB,17,0,0,0,0,0,0,0,0,0,0,0,0,1.1,19
1108,Armani Watts,KC,S,16,0,0,0,0,0,0,0,0,0,0,0,1,1.2,19
1108,Dylan Cole,TEN,LB,9,0,0,0,0,0,0,0,0,0,0,1,0,2.1,19
1108,Austin Walter,NYJ,RB,4,0,0,0,101,1,2,9,0,0,0,0,0,4.8,19
1113,Payton Turner,NO,DE,5,0,0,0,0,0,0,0,0,1,0,0,0,3.8,18.9
1113,Kenny Stills,NO,WR,13,0,0,0,1,0,6,68,1,0,0,0,0,1.5,18.9
1115,Eric Saubert,DEN,TE,17,0,0,0,0,0,8,47,1,0,0,0,0,1.1,18.7
1115,Blake Bell,KC,TE,16,0,0,0,10,0,9,87,0,0,0,0,0,1.2,18.7
1117,Jon Bostic,WAS,LB,4,0,0,0,0,0,0,0,0,0,0,0,0,4.6,18.5
1117,Christian Jones,CHI,OLB,17,0,0,0,0,0,0,0,0,0,0,0,0,1.1,18.5
1117,J.J. Taylor,NE,RB,5,0,0,0,37,2,4,8,0,0,0,0,0,3.7,18.5
1120,Kyle Phillips,NYJ,DE,7,0,0,0,0,0,0,0,0,1,0,0,0,2.6,18.4
1120,Tom Kennedy,DET,WR,12,75,1,0,0,0,6,54,0,0,0,0,0,1.5,18.4
1122,Mason Rudolph,PIT,QB,2,277,1,1,53,0,0,0,0,0,0,0,0,9.2,18.38
1123,Neville Gallimore,DAL,DT,5,0,0,0,0,0,0,0,0,1.5,0,0,0,3.6,18.15
1124,Rakeem Nunez-Roches,TB,DL,16,0,0,0,0,0,0,0,0,0,0,1,0,1.1,18
1124,Jacob Tuioti-Mariner,CAR,DE,6,0,0,0,0,0,0,0,0,2,0,0,0,3,18
1124,Ryan Santoso,LAR,K,4,0,0,0,0,0,0,0,0,0,0,0,0,4.5,18
1124,Kevin Givens,SF,DL,13,0,0,0,0,0,0,0,0,0,0,1,0,1.4,18
1124,Jason McCourty,MIA,CB,7,0,0,0,0,0,0,0,0,0,0,0,0,2.6,18
1124,Blake Martinez,NYG,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,6,18
1124,Montravius Adams,PIT,DT,10,0,0,0,0,0,0,0,0,0,0,0,0,1.8,18
1124,Richard Sherman,TB,CB,5,0,0,0,0,0,0,0,0,0,1,0,1,3.6,18
1124,Shawn Williams,ATL,SS,6,0,0,0,0,0,0,0,0,0,0,0,0,3,18
1124,Phillip Dorsett,HOU,WR,6,0,0,0,0,0,7,110,0,0,0,0,0,3,18
1134,Keith Smith,ATL,FB,17,0,0,0,31,0,9,56,0,0,0,0,0,1,17.7
1135,Mario Edwards,CHI,DE,12,0,0,0,0,0,0,0,0,2,0,0,0,1.5,17.6
1136,Deommodore Lenoir,SF,DB,13,0,0,0,0,0,0,0,0,0,0,0,0,1.3,17.5
1136,Wyatt Ray,CIN,DE,15,0,0,0,0,0,0,0,0,1,0,1,0,1.2,17.5
1136,Kelvin Joseph,DAL,CB,10,0,0,0,0,0,0,0,0,0,0,0,0,1.8,17.5
1136,Michael Thomas,CIN,S,8,0,0,0,0,0,0,0,0,0,0,1,0,2.2,17.5
1140,Patrick Taylor,GB,RB,8,0,0,0,89,1,2,3,0,0,0,0,0,2.2,17.2
1141,Justin Layne,PIT,CB,17,0,0,0,0,0,0,0,0,0,0,0,1,1,17
1141,Tim Settle,WAS,DT,16,0,0,0,0,0,0,0,0,0,0,0,1,1.1,17
1141,Jaire Alexander,GB,CB,4,0,0,0,0,0,0,0,0,0,1,0,0,4.2,17
1141,Jarren Williams,NYG,CB,6,0,0,0,0,0,0,0,0,0,0,0,0,2.8,17
1141,Joshua Kelley,LAC,RB,10,0,0,0,102,0,5,38,0,0,0,0,0,1.7,17
1146,Nick Foles,CHI,QB,1,250,1,0,8,0,0,0,0,0,0,0,0,16.8,16.8
1146,Dede Westbrook,MIN,WR,15,0,0,0,0,0,10,68,0,0,0,0,0,1.1,16.8
1148,Taco Charlton,PIT,DE,11,0,0,0,0,0,0,0,0,0.5,0,0,0,1.5,16.7
1149,Noah Gray,KC,TE,16,0,0,0,0,0,7,36,1,0,0,0,0,1,16.6
1150,James Vaughters,ATL,LB,10,0,0,0,0,0,0,0,0,1,0,1,0,1.6,16.5
1150,Jonathan Bullard,ATL,DL,9,0,0,0,0,0,0,0,0,0,0,0,0,1.8,16.5
1150,Isaac Rochell,IND,DE,12,0,0,0,0,0,0,0,0,0,0,0,0,1.4,16.5
1150,Teair Tart,TEN,DT,11,0,0,0,0,0,0,0,0,0,0,0,0,1.5,16.5
1150,Troy Dye,MIN,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,1,16.5
1150,Roderic Teamer,LV,S,10,0,0,0,0,0,0,0,0,0,0,0,0,1.6,16.5
1150,Amik Robertson,LV,CB,10,0,0,0,0,0,0,0,0,0,0,0,0,1.6,16.5
1157,Jesper Horsted,CHI,TE,7,0,0,0,0,0,2,21,2,0,0,0,0,2.3,16.1
1157,Shi Smith,CAR,WR,6,0,0,0,-3,0,6,104,0,0,0,0,0,2.7,16.1
1159,Ifeadi Odenigbo,CLE,DE,9,0,0,0,0,0,0,0,0,0,0,0,1,1.8,16
1159,Khalid Kareem,CIN,DE,7,0,0,0,0,0,0,0,0,0,0,1,1,2.3,16
1159,Elliott Fry,CIN,K,2,0,0,0,0,0,0,0,0,0,0,0,0,8,16
1162,Dez Fitzpatrick,TEN,WR,4,0,0,0,0,0,5,49,1,0,0,0,0,4,15.9
1163,Antony Auclair,HOU,TE,16,0,0,0,0,0,5,47,1,0,0,0,0,1,15.7
1164,Larry Rountree III,LAC,RB,12,0,0,0,87,1,1,-1,0,0,0,0,0,1.3,15.6
1164,Josh Oliver,BAL,TE,14,0,0,0,0,0,9,66,0,0,0,0,0,1.1,15.6
1166,Ta'Quon Graham,ATL,DL,13,0,0,0,0,0,0,0,0,0,0,0,0,1.2,15.5
1166,Justin Zimmer,BUF,DT,6,0,0,0,0,0,0,0,0,1,0,0,0,2.6,15.5
1166,Anthony Pittman,DET,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,0.9,15.5
1166,Tre Herndon,JAX,CB,9,0,0,0,0,0,0,0,0,0,0,0,0,1.7,15.5
1166,Brennan Scarlett,MIA,LB,13,0,0,0,0,0,0,0,0,0,0,0,0,1.2,15.5
1166,Tommy Togiai,CLE,DT,6,0,0,0,0,0,0,0,0,0.5,0,0,0,2.6,15.5
1166,DeAndre Baker,KC,CB,8,0,0,0,0,0,0,0,0,0,0,0,0,1.9,15.5
1173,Dax Milne,WAS,WR,13,0,0,0,1,0,9,83,0,0,0,0,0,1.2,15.4
1174,Jeff Heath,NO,SS,16,0,0,0,0,0,0,0,0,1,0,0,0,0.9,15.1
1174,Ross Dwelley,SF,TE,17,0,0,0,0,0,4,51,1,0,0,0,0,0.9,15.1
1176,Andre Chachere,PHI,S,16,0,0,0,0,0,0,0,0,0,0,0,0,0.9,15
1176,Patrick Johnson,PHI,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,0.9,15
1176,Jaquan Johnson,BUF,S,17,0,0,0,0,0,0,0,0,0,1,0,0,0.9,15
1176,Micah Kiser,DEN,LB,11,0,0,0,0,0,0,0,0,0,0,0,0,1.4,15
1176,Rashaan Melvin,CAR,CB,10,0,0,0,0,0,0,0,0,0,0,0,0,1.5,15
1181,Marcus Mariota,LV,QB,9,4,0,0,87,1,0,0,0,0,0,0,0,1.7,14.86
1182,Michael Burton,KC,FB,16,0,0,0,26,1,3,31,0,0,0,0,0,0.9,14.7
1183,Grant Stuard,TB,LB,17,0,0,0,0,0,0,0,0,0,0,1,0,0.9,14.5
1183,Justin Bethel,NE,CB,17,0,0,0,0,0,0,0,0,0,0,1,0,0.9,14.5
1183,Joe Gaziano,LAC,DL,14,0,0,0,0,0,0,0,0,0,0,0,0,1,14.5
1183,Mike Pennel Jr.,ATL,DL,10,0,0,0,0,0,0,0,0,0,0,0,0,1.4,14.5
1183,Danny Trevathan,CHI,ILB,5,0,0,0,0,0,0,0,0,0,0,0,0,2.9,14.5
1183,Thomas Graham Jr.,CHI,CB,4,0,0,0,0,0,0,0,0,0,0,0,0,3.6,14.5
1183,Anthony Miller,PIT,WR,3,0,0,0,0,0,6,25,1,0,0,0,0,4.8,14.5
1190,Chris Smith,HOU,DL,4,0,0,0,0,0,0,0,0,1.5,0,0,0,3.6,14.3
1191,Josh Gordon,KC,WR,12,0,0,0,0,0,5,32,1,0,0,0,0,1.2,14.2
1192,Josiah Scott,PHI,CB,13,0,0,0,0,0,0,0,0,1,0,0,0,1.1,14.1
1192,Derek Rivers,HOU,DE,5,0,0,0,0,0,0,0,0,1,0,0,0,2.8,14.1
1192,Chris Hogan,NO,WR,5,0,0,0,0,0,4,41,1,0,0,0,0,2.8,14.1
1195,Isaiah Buggs,PIT,DL,10,0,0,0,0,0,0,0,0,0,0,0,0,1.4,14
1195,Julian Stanford,CAR,LB,17,0,0,0,0,0,0,0,0,0,0,1,0,0.8,14
1195,Chapelle Russell,JAX,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,0.9,14
1195,Josh Jones,SEA,S,10,0,0,0,0,0,0,0,0,0,0,0,0,1.4,14
1195,Chris Herndon,MIN,TE,16,0,0,0,0,0,4,40,1,0,0,0,0,0.9,14
1200,Jason Cabinda,DET,FB,14,0,0,0,23,0,4,16,1,0,0,0,0,1,13.9
1201,Brandon Allen,CIN,QB,6,149,2,0,-1,0,0,0,0,0,0,0,0,2.3,13.86
1202,Daniel Ekuale,NE,DT,7,0,0,0,0,0,0,0,0,2,0,0,0,2,13.8
1202,Tipa Galeai,GB,LB,7,0,0,0,0,0,0,0,0,1,0,0,0,2,13.8
1202,Preston Williams,MIA,WR,8,0,0,0,7,0,6,71,0,0,0,0,0,1.7,13.8
1205,PJ Walker,CAR,QB,5,362,1,3,13,0,0,0,0,0,0,0,1,2.8,13.78
1206,K'Von Wallace,PHI,S,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13.5
1206,Josey Jewell,DEN,ILB,2,0,0,0,0,0,0,0,0,0,0,1,0,6.8,13.5
1206,Oshane Ximines,NYG,OLB,10,0,0,0,0,0,0,0,0,0,0,0,0,1.4,13.5
1206,Elijah Lee,CLE,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,0.8,13.5
1206,Justin Ellis,BAL,DL,17,0,0,0,0,0,0,0,0,0,0,0,0,0.8,13.5
1206,Jalyn Holmes,NO,DE,8,0,0,0,0,0,0,0,0,0,0,0,0,1.7,13.5
1206,Wayne Gallman,MIN,RB,8,0,0,0,104,0,1,21,0,0,0,0,0,1.7,13.5
1213,Shaka Toney,WAS,DE,10,0,0,0,0,0,0,0,0,1.5,0,0,0,1.3,13.25
1214,Benny Snell Jr.,PIT,RB,17,0,0,0,98,0,2,13,0,0,0,0,0,0.8,13.1
1215,Jon Rhattigan,SEA,LB,14,0,0,0,0,0,0,0,0,0,0,0,1,0.9,13
1215,Adrian Colbert,CLE,S,7,0,0,0,0,0,0,0,0,0,0,0,0,1.9,13
1215,Tanner Vallejo,ARI,ILB,10,0,0,0,0,0,0,0,0,0.5,0,0,0,1.3,13
1215,Ricardo Allen,CIN,FS,14,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13
1215,John Jenkins,MIA,DT,7,0,0,0,0,0,0,0,0,0,0,0,0,1.9,13
1215,Malcolm Roach,NO,DL,7,0,0,0,0,0,0,0,0,0,1,0,0,1.9,13
1215,Xavier Crawford,CHI,CB,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13
1215,Margus Hunt,CHI,DE,10,0,0,0,0,0,0,0,0,0,0,0,0,1.3,13
1215,Robert Nkemdiche,SEA,NT,9,0,0,0,0,0,0,0,0,0,0,0,0,1.4,13
1215,Jahlani Tavai,NE,ILB,13,0,0,0,0,0,0,0,0,0,0,0,1,1,13
1215,Trysten Hill,DAL,DT,6,0,0,0,0,0,0,0,0,0.5,0,0,0,2.2,13
1215,Dominik Eberle,HOU,K,1,0,0,0,0,0,0,0,0,0,0,0,0,13,13
1227,Sean Mannion,MIN,QB,1,189,1,0,14,0,0,0,0,0,0,0,0,13,12.96
1228,Marlon Mack,IND,RB,6,0,0,0,101,0,2,8,0,0,0,0,0,2.2,12.9
1228,Auden Tate,CIN,WR,7,0,0,0,0,0,3,39,1,0,0,0,0,1.8,12.9
1228,Penny Hart,SEA,WR,17,0,0,0,0,0,7,59,0,0,0,0,0,0.8,12.9
1231,Eli Ankou,BUF,DT,6,0,0,0,0,0,0,0,0,1,0,0,0,2.1,12.7
1231,Sean McKeon,DAL,TE,9,0,0,0,0,0,4,27,1,0,0,0,0,1.4,12.7
1233,Ryquell Armstead,JAX,RB,2,0,0,0,80,0,3,16,0,0,0,0,0,6.3,12.6
1233,Luke Farrell,JAX,TE,15,0,0,0,0,0,7,56,0,0,0,0,0,0.8,12.6
1235,K.J. Britt,TB,ILB,17,0,0,0,0,0,0,0,0,0,0,0,0,0.7,12.5
1235,Zech McPhearson,PHI,CB,16,0,0,0,0,0,0,0,0,0,0,0,0,0.8,12.5
1235,Tyrel Dodson,BUF,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,0.8,12.5
1235,L.J. Collier,SEA,DE,10,0,0,0,0,0,0,0,0,0,0,0,0,1.2,12.5
1235,Trey Marshall,LAC,SS,14,0,0,0,0,0,0,0,0,0,0,0,0,0.9,12.5
1235,Trae Waynes,CIN,CB,5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,12.5
1235,Jahleel Addae,IND,SS,9,0,0,0,0,0,0,0,0,0,0,0,0,1.4,12.5
1242,KJ Hamler,DEN,WR,3,0,0,0,0,0,5,74,0,0,0,0,0,4.1,12.4
1243,Brian Hoyer,NE,QB,5,227,1,0,-8,0,0,0,0,0,0,0,0,2.5,12.28
1244,Nahshon Wright,DAL,CB,13,0,0,0,0,0,0,0,0,0,0,0,0,0.9,12
1244,Miles Killebrew,PIT,S,17,0,0,0,0,0,0,0,0,0,0,0,0,0.7,12
1244,Kevin Pierre-Louis,HOU,ILB,9,0,0,0,0,0,0,0,0,0,0,0,1,1.3,12
1244,Cody Davis,NE,SS,16,0,0,0,0,0,0,0,0,0,0,0,0,0.8,12
1244,Andrew Dowell,NO,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,0.8,12
1244,Malcolm Koonce,LV,DE,5,0,0,0,0,0,0,0,0,2,0,0,0,2.4,12
1244,Trayvon Henderson,CIN,S,2,0,0,0,0,0,0,0,0,0,0,0,1,6,12
1244,Josiah Bronson,DAL,DT,7,0,0,0,0,0,0,0,0,0,0,0,0,1.7,12
1252,Andy Janovich,CLE,FB,13,0,0,0,0,1,3,9,0,0,0,0,0,0.9,11.9
1253,Juwann Winfree,GB,WR,7,0,0,0,0,0,8,58,0,0,0,0,0,1.7,11.8
1254,McTelvin Agim,DEN,DL,7,0,0,0,0,0,0,0,0,1.5,0,0,0,1.7,11.7
1255,T.J. Green,HOU,FS,7,0,0,0,0,0,0,0,0,0,0,0,0,1.6,11.5
1255,John Reid,SEA,CB,11,0,0,0,0,0,0,0,0,0,0,0,0,1,11.5
1255,Jamien Sherwood,NYJ,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,2.3,11.5
1255,Josh Metellus,MIN,S,16,0,0,0,0,0,0,0,0,0,0,0,0,0.7,11.5
1255,Ty Summers,GB,LB,14,0,0,0,0,0,0,0,0,0,0,0,1,0.8,11.5
1255,Albert Huggins,NO,DT,9,0,0,0,0,0,0,0,0,0,0,0,0,1.3,11.5
1255,Nate Hairston,DEN,CB,16,0,0,0,0,0,0,0,0,0,0,0,0,0.7,11.5
1255,Anthony Levine Sr.,BAL,DB,17,0,0,0,0,0,0,0,0,0,0,0,0,0.7,11.5
1255,Michael Ojemudia,DEN,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,5.8,11.5
1264,Jaelon Darden,TB,WR,9,0,0,0,11,0,6,43,0,0,0,0,0,1.3,11.4
1265,Bunmi Rotimi,WAS,DE,9,0,0,0,0,0,0,0,0,1,0,0,0,1.2,11.2
1265,Tyree Jackson,PHI,TE,9,0,0,0,0,0,3,22,1,0,0,0,0,1.2,11.2
1267,John Penisini,DET,NT,16,0,0,0,0,0,0,0,0,0,0,0,0,0.7,11
1267,Joe Thomas,BAL,LB,7,0,0,0,0,0,0,0,0,0,0,0,0,1.6,11
1267,Justin Hamilton,DEN,DT,9,0,0,0,0,0,0,0,0,0,0,0,0,1.2,11
1267,A.J. Moore,HOU,S,12,0,0,0,0,0,0,0,0,0,0,1,0,0.9,11
1267,Cameron Batson,TEN,WR,4,0,0,0,15,0,2,15,1,0,0,0,0,2.8,11
1267,Kene Nwangwu,MIN,RB,11,0,0,0,61,0,4,9,0,0,0,0,0,1,11
1273,Jake Fromm,NYG,QB,3,210,1,3,65,0,0,0,0,0,0,0,0,3.6,10.9
1274,Chris Myarick,NYG,FB,8,0,0,0,0,0,3,17,1,0,0,0,0,1.3,10.7
1275,Luke Gifford,DAL,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,0.7,10.5
1275,Jamir Jones,JAX,OLB,15,0,0,0,0,0,0,0,0,0,0,0,0,0.7,10.5
1275,Tim Ward,NYJ,DE,11,0,0,0,0,0,0,0,0,0,0,0,0,1,10.5
1275,Nick Dzubnar,TEN,OLB,17,0,0,0,0,0,0,0,0,0,0,0,0,0.6,10.5
1275,Marqui Christian,CHI,SS,17,0,0,0,0,0,0,0,0,0,0,0,0,0.6,10.5
1275,Keisean Nixon,LV,CB,11,0,0,0,0,0,0,0,0,0,0,0,0,1,10.5
1275,Sam Kamara,CHI,LB,8,0,0,0,0,0,0,0,0,0,0,0,0,1.3,10.5
1275,Tre Brown,SEA,CB,5,0,0,0,0,0,0,0,0,0,0,0,0,2.1,10.5
1275,Greg Mabin,TEN,CB,5,0,0,0,0,0,0,0,0,0,0,0,0,2.1,10.5
1275,Dayo Odeyingbo,IND,DE,10,0,0,0,0,0,0,0,0,0.5,0,1,0,1,10.5
1275,Porter Gustin,CLE,LB,6,0,0,0,0,0,0,0,0,0,0,0,1,1.8,10.5
1275,Tre' McKitty,LAC,TE,11,0,0,0,0,0,6,45,0,0,0,0,0,1,10.5
1287,Michael Dwumfour,HOU,DL,3,0,0,0,0,0,0,0,0,0.5,0,0,0,3.5,10.4
1287,Ja'Marcus Bradley,CLE,WR,5,0,0,0,0,0,4,64,0,0,0,0,0,2.1,10.4
1289,Charlie Woerner,SF,TE,17,0,0,0,0,0,5,52,0,0,0,0,0,0.6,10.2
1289,Mike Thomas,CIN,WR,12,0,0,0,0,0,5,52,0,0,0,0,0,0.8,10.2
1291,Damion Square,LV,DT,9,0,0,0,0,0,0,0,0,0.5,0,0,0,1.1,10.15
1292,Romeo Okwara,DET,DL,4,0,0,0,0,0,0,0,0,1,0,0,0,2.5,10.1
1292,Dezmon Patmon,IND,WR,8,0,0,0,0,0,2,21,1,0,0,0,0,1.3,10.1
1294,Andre Smith,BUF,LB,15,0,0,0,0,0,0,0,0,0,0,0,1,0.7,10
1294,Marquise Blair,SEA,FS,6,0,0,0,0,0,0,0,0,0,0,0,0,1.7,10
1294,Lerentee McCray,JAX,DE,12,0,0,0,0,0,0,0,0,0,0,0,0,0.8,10
1294,Cam Lewis,BUF,CB,7,0,0,0,0,0,0,0,0,0,0,1,0,1.4,10
1294,Chris Blewitt,WAS,K,2,0,0,0,0,0,0,0,0,0,0,0,0,5,10
1294,Tyrell Adams,JAX,LB,7,0,0,0,0,0,0,0,0,0,0,2,0,1.4,10
1294,Calvin Munson,MIA,LB,7,0,0,0,0,0,0,0,0,0,0,0,0,1.4,10
1294,Elerson Smith,NYG,OLB,8,0,0,0,0,0,0,0,0,0,0,1,0,1.2,10
1294,Will Parks,NYJ,S,4,0,0,0,0,0,0,0,0,0,0,0,0,2.5,10
1303,Nick Mullens,CLE,QB,1,147,1,0,0,0,0,0,0,0,0,0,0,9.9,9.88
1304,Rodney Smith,DET,RB,2,0,0,0,0,0,5,48,0,0,0,0,0,4.9,9.8
1304,Curtis Samuel,WAS,WR,5,0,0,0,11,0,6,27,0,0,0,0,0,2,9.8
1306,Cassius Marsh,CHI,DE,4,0,0,0,0,0,0,0,0,1,0,0,0,2.4,9.7
1306,Jonathan Ward,ARI,RB,13,0,0,0,33,0,3,34,0,0,0,1,0,0.7,9.7
1306,C.J. Board,NYG,WR,6,0,0,0,6,0,4,51,0,0,0,0,0,1.6,9.7
1309,Amari Rodgers,GB,WR,16,0,0,0,11,0,4,45,0,0,0,0,0,0.6,9.6
1310,Marcus Allen,PIT,LB,16,0,0,0,0,0,0,0,0,0,0,0,0,0.6,9.5
1310,Vernon Butler,BUF,DT,10,0,0,0,0,0,0,0,0,0,0,0,0,1,9.5
1310,Kemon Hall,LAC,CB,16,0,0,0,0,0,0,0,0,0,0,0,1,0.6,9.5
1310,Isaiah Dunn,NYJ,CB,12,0,0,0,0,0,0,0,0,0,0,0,0,0.8,9.5
1310,Breon Borders,ARI,CB,12,0,0,0,0,0,0,0,0,0,0,0,0,0.8,9.5
1310,Dakota Allen,JAX,LB,14,0,0,0,0,0,0,0,0,0,0,1,0,0.7,9.5
1310,Chase Winovich,NE,DE,13,0,0,0,0,0,0,0,0,0,0,0,0,0.7,9.5
1310,Isaac Yiadom,GB,DB,16,0,0,0,0,0,0,0,0,0,0,0,0,0.6,9.5
1310,Daniel Wise,WAS,DT,6,0,0,0,0,0,0,0,0,0,0,0,0,1.6,9.5
1310,Joe Walker,ARI,ILB,12,0,0,0,0,0,0,0,0,0,0,0,0,0.8,9.5
